EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
180,Daniel Ramirez,61349,Production Technician I,MA,11-07-1974,F,Married,11-11-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.1,3
181,Stella Nelson,105688,Software Engineer,MA,11-07-1987,F,Single,11-11-2013,NULL,Active,Engineering,Google Search,Fully Meets,4.5,5
182,Jackson Cox,54132,Production Technician I,MA,11-02-1977,F,Married,05-01-2011,NULL,Active,Production       ,Indeed,Fully Meets,5,4
183,Isabella Simmons,55315,Production Technician II,MA,05-01-1987,F,Single,03-03-2015,NULL,Active,Production       ,LinkedIn,Fully Meets,5,5
184,Noah Ward,62810,Production Technician I,MA,01-07-1987,F,Married,01-07-2013,NULL,Active,Production       ,CareerBuilder,Fully Meets,3.93,3
185,Riley Rodriguez,63291,Area Sales Manager,TX,07-01-1984,M ,Married,07-06-2016,NULL,Active,Sales,Website,Fully Meets,3.4,4
186,Aiden Gray,62659,Production Technician I,MA,05-03-1968,F,Single,04-02-2012,11-11-2016,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.18,4
187,Aurora Hayes,55688,Production Technician I,MA,09-02-1976,F,Single,03-03-2015,NULL,Active,Production       ,CareerBuilder,Fully Meets,5,4
188,Carter Richardson,83667,Production Manager,MA,08-10-1981,M ,Single,08-06-2012,NULL,Active,Production       ,Indeed,Fully Meets,4.37,3
189,Penelope Evans,55800,Production Technician II,MA,06-09-1985,M ,Single,08-05-2011,09-04-2014,Voluntarily Terminated,Production       ,LinkedIn,PIP,3,2
190,Logan Taylor,58207,Production Technician II,MA,08-07-1992,M ,Married,11-07-2011,NULL,Active,Production       ,LinkedIn,Fully Meets,3.7,3
191,Harper Morris,157000,IT Manager - Infra,MA,10-05-1986,M ,Married,02-05-2012,NULL,Active,IT/IS,Diversity Job Fair,Needs Improvement,2.39,3
192,Matthew Green,72460,Production Technician II,MA,04-04-1970,F,Single,05-03-2013,NULL,Active,Production       ,Indeed,Exceeds,4.7,3
193,Zoey Baker,72106,Production Technician II,MA,12-03-1976,M ,Single,01-09-2012,NULL,Active,Production       ,Diversity Job Fair,Fully Meets,4.1,4
194,David Phillips,52599,Network Engineer,MA,04-04-1979,F,Married,02-06-2015,NULL,Active,IT/IS,CareerBuilder,Fully Meets,3.81,3
195,Mila Butler,63430,Production Technician I,MA,07-07-1984,F,Divorced,04-01-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.4,4
196,Joseph King,74417,Production Technician II,MA,12-01-1974,M ,Separated,05-03-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.29,5
197,Avery Coleman,57575,Production Technician I,MA,04-08-1980,M ,Single,07-08-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.1,4
198,Sebastian Smith,87921,Senior BI Developer,MA,04-05-1970,M ,Single,02-10-2017,NULL,Active,IT/IS,Indeed,Fully Meets,5,3
199,Eleanor White,50470,Production Technician I,MA,05-02-1989,M ,Single,09-06-2011,04-04-2014,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.3,3
200,Leo Turner,46664,Production Technician I,MA,03-08-1983,M ,Married,04-01-2013,05-05-2016,Voluntarily Terminated,Production       ,Employee Referral,Fully Meets,3.18,3
201,Addison Adams,48495,Production Technician I,MA,04-08-1977,M ,Married,05-12-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,5,5
202,Andrew Martin,52984,Production Technician I,MA,06-03-1967,F,Separated,04-01-2013,NULL,Active,Production       ,Diversity Job Fair,Exceeds,4,3
203,Brooklyn Peterson,63695,Area Sales Manager,GA,03-01-1989,F,Single,07-08-2013,NULL,Active,Sales,Indeed,Fully Meets,5,5
204,Nathan Clark,62061,Production Technician I,MA,07-07-1984,F,Single,07-08-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,3.6,5
205,Leah Morris,66738,Production Technician II,MA,11-03-1985,F,Single,11-10-2014,NULL,Active,Production       ,Indeed,Fully Meets,4.53,5
206,Jack Hill,52674,Production Technician I,MA,09-03-1980,F,Single,03-01-2014,05-01-2018,Terminated for Cause,Production       ,LinkedIn,PIP,2.33,2
207,Grace Ross,71966,Production Technician II,MA,02-11-1952,F,Married,05-04-2012,08-09-2013,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,3
208,Ryan Mitchell,63051,Area Sales Manager,FL,05-11-1990,F,Single,09-03-2013,NULL,Active,Sales,Indeed,Fully Meets,4.28,3
209,Madison Collins,47414,Production Technician I,MA,12-11-1976,M ,Married,09-03-2013,NULL,Active,Production       ,LinkedIn,Exceeds,5,3
210,Gabriel Thompson,53060,Production Technician I,MA,11-04-1979,M ,Single,02-07-2014,NULL,Active,Production       ,LinkedIn,Needs Improvement,4.25,3
211,Emily Cooper,68829,Area Sales Manager,NC,05-09-1982,M ,Single,01-05-2015,NULL,Active,Sales,Website,Fully Meets,5,5
212,Dylan Martinez,63515,Production Technician I,MA,05-01-1979,F,Married,02-07-2011,01-12-2014,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.89,4
213,Hazel Watson,108987,Software Engineer,MA,02-02-1979,M ,Single,11-07-2011,09-07-2015,Voluntarily Terminated,Engineering,Diversity Job Fair,Exceeds,5,5
214,Zachary Stewart,93093,Data Analyst,MA,09-05-1984,M ,Married,12-01-2014,05-01-2016,Voluntarily Terminated,IT/IS,Employee Referral,Fully Meets,4.7,4
215,Audrey Anderson,53564,Production Technician I,MA,03-07-1988,M ,Single,01-10-2011,12-08-2017,Voluntarily Terminated,Production       ,Google Search,Needs Improvement,3.54,5
216,William Murphy,60270,Production Technician II,MA,07-08-1989,F,Married,07-05-2011,09-05-2015,Voluntarily Terminated,Production       ,CareerBuilder,Needs Improvement,2.4,5
217,Scarlett Mitchell,45998,Production Technician I,MA,07-02-1986,F,Single,05-06-2011,10-05-2015,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,3.45,4
218,Samuel Campbell,57954,Production Technician II,MA,08-07-1986,F,Married,05-06-2011,02-04-2013,Voluntarily Terminated,Production       ,Indeed,Exceeds,4.2,5
219,Lila Bennett,74669,Production Manager,MA,05-09-1977,F,Married,10-05-2010,05-08-2016,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.16,5
220,Oliver Sanchez,74226,Production Technician II,MA,03-10-1979,F,Married,04-02-2012,NULL,Active,Production       ,LinkedIn,Fully Meets,4.3,3
221,Victoria Roberts,93554,Data Analyst,MA,09-06-1984,F,Married,11-10-2014,NULL,Active,IT/IS,Employee Referral,Exceeds,4.6,5
222,Daniel Foster,64724,Production Technician I,MA,03-06-1988,M ,Married,07-05-2011,11-03-2012,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,3
223,Stella Henderson,47001,Production Technician I,MA,11-03-1981,M ,Single,11-05-2007,NULL,Active,Production       ,Google Search,Fully Meets,3.66,3
224,James Clarke,61844,Area Sales Manager,KY,08-09-1988,F,Married,01-09-2012,NULL,Active,Sales,Website,Fully Meets,4.2,5
225,Ava Lewis,46799,Production Technician I,MA,10-05-1984,F,Divorced,05-06-2011,06-04-2018,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.17,4
226,Ethan Rivera,59472,Production Technician I,MA,06-09-1961,M ,Single,01-06-2014,NULL,Active,Production       ,Employee Referral,Fully Meets,4.8,3
227,Sophia Price,46430,Production Technician I,MA,09-02-1970,F,Divorced,09-04-2012,06-08-2013,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.5,5
228,Elijah Adams,83363,Software Engineer,MA,11-06-1984,M ,Married,02-01-2011,08-05-2015,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4.15,4
229,Lily Bryant,95920,BI Developer,MA,05-02-1980,F,Married,10-02-2016,NULL,Active,IT/IS,Indeed,Fully Meets,4.4,4
230,Gabriel Carter,61729,Production Technician I,MA,12-01-1984,M ,Divorced,09-06-2011,04-07-2018,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.8,5
231,Chloe Hughes,61809,Area Sales Manager,ID,10-12-1954,M ,Married,05-12-2014,NULL,Active,Sales,CareerBuilder,Fully Meets,3.98,3
232,Owen Turner,45115,Production Technician I,MA,07-02-1982,M ,Divorced,05-06-2011,01-05-2016,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,4
233,Grace Reed,46738,Production Technician I,MA,01-12-1973,F,Married,11-08-2011,NULL,Active,Production       ,Google Search,Exceeds,4.36,5
234,Isaac Morgan,64971,Production Technician II,MA,09-05-1981,F,Divorced,09-06-2011,10-02-2011,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.5,4
235,Olivia Wright,55578,Production Technician II,MA,07-03-1972,M ,Married,07-05-2011,02-08-2012,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.2,5
236,Benjamin Gonzalez,50428,Production Technician I,MA,01-07-1974,M ,Married,01-10-2011,01-06-2016,Voluntarily Terminated,Production       ,Indeed,Fully Meets,5,3
237,Harper Parker,61422,Production Technician I,MA,01-07-1985,F,Married,01-10-2011,05-07-2016,Terminated for Cause,Production       ,Indeed,Needs Improvement,3.6,3
238,Mason Jenkins,63353,Production Technician I,MA,01-08-1985,M ,Widowed,07-08-2013,NULL,Active,Production       ,Employee Referral,Exceeds,3.6,5
239,Amelia Bell,89883,Data Analyst,MA,10-11-1981,F,Married,02-06-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,3.69,5
240,Samuel Ramirez,120000,Principal Data Architect,MA,05-07-1973,F,Single,01-05-2015,11-10-2018,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,3.88,3
241,Ava Nelson,150290,Data Architect,MA,11-01-1972,F,Single,01-07-2017,NULL,Active,IT/IS,Indeed,Fully Meets,4.94,3
242,Julian Cox,60627,Production Technician I,MA,12-05-1974,F,Separated,01-06-2014,NULL,Active,Production       ,Website,Fully Meets,5,4
243,Emily Simmons,53180,Production Technician I,MA,03-08-1987,M ,Single,04-04-2011,08-03-2018,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,5
244,Liam Ward,140920,IT Manager - DB,MA,04-05-1973,M ,Single,01-02-2013,NULL,Active,IT/IS,Indeed,Fully Meets,3.6,5
245,Abigail Rodriguez,148999,IT Manager - DB,MA,01-04-1964,M ,Divorced,01-09-2012,11-04-2015,Voluntarily Terminated,IT/IS,Diversity Job Fair,Fully Meets,4.3,4
246,Caleb Gray,86214,Software Engineer,MA,07-04-1986,F,Married,11-05-2012,NULL,Active,Engineering,Indeed,Fully Meets,4.2,3
247,Sofia Hayes,47750,Production Technician I,MA,06-06-1968,F,Single,07-04-2016,NULL,Active,Production       ,Diversity Job Fair,Needs Improvement,2.6,4
248,Henry Richardson,46428,Production Technician I,MA,12-01-1974,M ,Single,01-05-2009,07-03-2018,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.6,5
249,Victoria Evans,57975,Production Technician II,MA,04-06-1986,M ,Married,08-03-2010,NULL,Active,Production       ,CareerBuilder,Fully Meets,4.1,3
250,Alexander Green,88527,Data Analyst ,MA,12-07-1987,M ,Divorced,01-05-2015,10-01-2015,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,4.2,3
251,Lucy Baker,56147,Production Technician I,MA,07-10-1988,F,Married,09-09-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,3.51,3
252,Kwame Adu,50923,Production Technician I,MA,03-10-1975,F,Single,09-03-2013,NULL,Active,Production       ,Google Search,Fully Meets,5,5
253,Abena Mensah,50750,Network Engineer,MA,04-04-1981,F,Married,09-03-2014,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.31,3
254,Kofi Osei,52087,Production Technician I,MA,08-04-1985,F,Married,08-09-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.81,4
255,Akua Boateng,87826,Data Analyst,MA,02-08-1970,M ,Married,01-05-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,3.32,3
256,Nana Acheampong,51920,Administrative Assistant,MA,05-09-1988,F,Single,05-01-2015,NULL,Active,Admin Offices,Website,Fully Meets,5,3
257,Esi Amponsah,63878,Production Technician II,MA,11-05-1987,F,Single,10-06-2009,04-08-2015,Voluntarily Terminated,Production       ,CareerBuilder,Fully Meets,4.68,4
258,Kwadwo Owusu,60656,Production Technician II,MA,10-03-1963,M ,Single,09-09-2014,NULL,Active,Production       ,Indeed,Exceeds,4.3,3
259,Ama Gyasi,72992,Sales Manager,MA,08-06-1984,M ,Divorced,05-08-2014,NULL,Active,Sales,Diversity Job Fair,Needs Improvement,2.4,4
260,Kojo Ansah,55000,Administrative Assistant,MA,06-04-1987,F,Married,09-06-2011,09-05-2013,Voluntarily Terminated,Admin Offices,Diversity Job Fair,Fully Meets,3.8,4
261,Yaa Appiah,58939,Production Technician I,MA,02-02-1965,F,Single,11-11-2013,NULL,Active,Production       ,Employee Referral,Fully Meets,3.73,3
262,Kwesi Mensah,66593,IT Support,MA,03-12-1973,F,Married,06-10-2011,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.3,3
263,Afia Darko,87565,Sr. Network Engineer,MA,02-09-1983,M ,Married,06-03-2016,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.27,4
264,Kwabena Boateng,64021,Production Technician I,MA,07-02-1968,F,Married,02-02-2012,NULL,Active,Production       ,Indeed,PIP,2.4,2
265,Adwoa Agyemang,65714,Production Manager,MA,09-03-1975,F,Married,10-02-2012,NULL,Active,Production       ,LinkedIn,Fully Meets,4.83,5
266,Nii Tetteh,62425,Production Technician I,MA,03-06-1973,F,Divorced,05-03-2013,06-09-2015,Voluntarily Terminated,Production       ,LinkedIn,Exceeds,4.1,4
267,Maa Anokye,47961,Production Technician I,MA,08-05-1982,F,Divorced,01-10-2011,NULL,Active,Production       ,Google Search,Fully Meets,4.1,4
268,Kweku Asante,58273,Area Sales Manager,NV,05-09-1974,M ,Married,05-12-2014,NULL,Active,Sales,Website,PIP,1.81,2
269,Aba Obeng,63003,Accountant I,MA,09-01-1986,M ,Single,09-09-2014,NULL,Active,Admin Offices,Indeed,Fully Meets,3.9,5
270,Kwaku Ofori,61355,Production Technician I,MA,03-04-1985,M ,Married,02-07-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.7,3
271,Akosua Adu,60120,Area Sales Manager,MT,05-12-1989,F,Married,09-07-2010,NULL,Active,Sales,Indeed,Fully Meets,4.1,4
272,Kobby Osei,63682,Production Manager,MA,03-08-1978,F,Married,01-08-2009,NULL,Active,Production       ,Indeed,Fully Meets,3.73,4
273,Adwoa Asare,63025,Production Technician I,MA,10-07-1982,M ,Married,01-05-2015,NULL,Active,Production       ,Google Search,Fully Meets,4.36,5
274,Kojo Amoah,59238,Production Technician I,MA,08-05-1968,F,Single,05-04-2012,NULL,Active,Production       ,Indeed,Fully Meets,3.4,5
275,Efia Yeboah,92989,Software Engineer,MA,05-06-1983,M ,Single,07-07-2014,NULL,Active,Engineering,LinkedIn,Exceeds,4.5,5
276,Kwame Addo,90100,BI Developer,MA,10-04-1987,M ,Married,04-02-2017,NULL,Active,IT/IS,Indeed,Fully Meets,3.4,3
277,Akua Owusu,60754,Production Technician I,MA,04-03-1975,F,Married,04-07-2009,04-01-2013,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.5,5
278,Kwesi Acheampong,72202,Production Technician II,MA,05-04-1953,F,Married,05-06-2011,07-08-2017,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.93,3
279,Ama Mensah,58370,Area Sales Manager,OR,05-07-1965,F,Single,09-09-2014,NULL,Active,Sales,Indeed,Fully Meets,3.69,3
280,Nana Boateng,48413,Production Technician I,MA,05-09-1965,F,Single,07-05-2011,09-05-2016,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.98,4
281,Esi Amankwah,67176,Production Technician II,MA,09-06-1975,M ,Widowed,06-05-2007,08-03-2010,Voluntarily Terminated,Production       ,Other,Fully Meets,4.1,4
282,Kofi Appiah,56339,Production Technician I,MA,06-05-1967,F,Divorced,02-08-2013,NULL,Active,Production       ,Indeed,Fully Meets,4.21,5
283,Abena Adjei,64397,Area Sales Manager,ND,01-05-1968,M ,Separated,01-09-2006,NULL,Active,Sales,Indeed,Exceeds,4.1,3
284,Kojo Ampofo,63025,Production Technician I,MA,05-06-1983,F,Single,02-07-2014,NULL,Active,Production       ,LinkedIn,Needs Improvement,2.44,5
285,Yaa Ansah,75281,Network Engineer,MA,05-05-1988,M ,Married,01-05-2015,02-12-2016,Voluntarily Terminated,IT/IS,CareerBuilder,Fully Meets,5,3
286,Kwadwo Darko,100416,Software Engineer,MA,06-04-1983,M ,Single,02-08-2013,04-05-2018,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4.6,3
287,Akua Addo,74813,Production Technician II,MA,03-05-1985,F,Single,01-10-2011,07-02-2014,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,4.4,3
288,Kweku Agyemang,76029,Network Engineer,MA,03-01-1969,M ,Married,03-03-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,5,4
289,Afia Mensah,57859,Area Sales Manager,AZ,05-03-1991,F,Married,07-05-2011,NULL,Active,Sales,Indeed,Fully Meets,2.81,3
290,Kwabena Osei,58523,Production Technician I,MA,01-01-1987,M ,Divorced,08-03-2012,02-05-2016,Voluntarily Terminated,Production       ,LinkedIn,Exceeds,4.5,5
291,Ama Gyamfi,88976,Production Manager,MA,10-10-1968,M ,Divorced,08-01-2011,NULL,Active,Production       ,Employee Referral,Fully Meets,3.93,3
292,Nii Amponsah,55875,Area Sales Manager,ME,07-11-1989,M ,Single,03-05-2012,NULL,Active,Sales,Website,Fully Meets,4.5,4
293,Adwoa Boateng,113999,Database Administrator,MA,08-07-1986,M ,Married,02-06-2015,02-02-2017,Terminated for Cause,IT/IS,Employee Referral,Fully Meets,4.33,3
294,Kobby Asamoah,49773,Production Technician I,MA,06-03-1986,F,Married,09-06-2011,02-08-2016,Terminated for Cause,Production       ,Google Search,Exceeds,4.3,5
295,Akosua Badu,62068,Production Technician I,MA,04-06-1985,F,Single,07-05-2015,NULL,Active,Production       ,LinkedIn,Fully Meets,3.21,3
296,Kwaku Nkrumah,66541,Production Technician II,MA,02-10-1976,M ,Single,08-08-2014,NULL,Active,Production       ,Employee Referral,Fully Meets,3.11,5
297,Aba Agyei,80512,Production Manager,MA,11-04-1955,F,Married,09-06-2011,01-02-2012,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.5,3
298,Kwame Bonsu,50274,Production Technician I,MA,08-02-1980,F,Single,08-03-2012,09-01-2015,Voluntarily Terminated,Production       ,CareerBuilder,Needs Improvement,2.5,3
299,Kojo Anane,84903,Senior BI Developer,MA,07-08-1981,M ,Single,02-05-2017,NULL,Active,IT/IS,Indeed,Fully Meets,3.42,4
300,Efia Owusu,107226,Sr. Network Engineer,MA,05-02-1978,F,Widowed,03-03-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.2,4
301,Kwesi Arthur,58371,Production Technician I,MA,05-04-1987,M ,Single,01-10-2011,05-05-2014,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,5,5
302,Akua Anokye,55140,Production Technician I,MA,09-09-1965,M ,Married,05-06-2011,09-07-2015,Voluntarily Terminated,Production       ,Website,Fully Meets,5,3
303,Kwabena Asamoah,58062,Production Technician I,MA,07-03-1983,F,Divorced,01-10-2011,05-04-2012,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.6,5
304,Ama Asante,59728,Production Technician I,MA,10-02-1969,F,Single,01-09-2012,06-07-2015,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.3,4
305,Kofi Mensah,70507,Production Technician II,MA,11-07-1958,M ,Single,01-07-2013,02-01-2016,Voluntarily Terminated,Production       ,LinkedIn,Exceeds,5,3
306,Abena Yeboah,60446,Production Technician II,MA,04-02-1985,F,Single,09-09-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,3.4,4
307,Nana Asare,65893,Production Technician II,MA,05-11-1985,M ,Single,07-07-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.07,4
308,Yaa Yeboah,48513,Production Technician I,MA,05-04-1982,F,Single,09-02-2008,09-09-2015,Voluntarily Terminated,Production       ,Google Search,PIP,3.2,2
309,Kojo Ofori,220450,CIO,MA,08-03-1979,F,Single,04-10-2010,NULL,Active,IT/IS,Employee Referral,Exceeds,4.6,5
310,Esi Amoako,89292,Data Analyst,MA,02-04-1979,F,Single,03-03-2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,5,3
311,Kweku Annan,45046,Production Technician I,MA,08-07-1978,F,Widowed,09-09-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.5,5
